Since	the	F10.7	(3-month	avg)	of	the	requested	date	is	not	yet	"available,"	the	value	of	F10.7	(daily)	is	used	instead	as	the	value	of	F10.7	(3-monthavg).
Year	Mon	Day	DOY	hour	Heit(km)	Lat	Lon	Oden(cm-3)	N2den(cm-3)	O2den(cm-3)	air(gm/cm3)	T(K)	exoT(K)	Heden(cm-3)Arden(cm-3)	Hden(cm-3)	Nden(cm-3)	F107	F107a	apdaily	ap0-3	ap3-6	ap6-9	ap9-12	ap12-33	ap33-59	
2024	9	21	265	12	0	32.7	242.8	1.00E-37	1.93E+19	5.16E+18	1.19E-03	294.5	937	1.28E+14	2.30E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	1	32.7	242.8	1.00E-37	1.74E+19	4.67E+18	1.07E-03	289.9	937	1.16E+14	2.08E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	2	32.7	242.8	1.00E-37	1.57E+19	4.21E+18	9.66E-04	285.7	937	1.05E+14	1.88E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	3	32.7	242.8	1.00E-37	1.41E+19	3.79E+18	8.70E-04	281.3	937	9.41E+13	1.69E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	4	32.7	242.8	1.00E-37	1.27E+19	3.41E+18	7.83E-04	276.6	937	8.47E+13	1.52E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	5	32.7	242.8	1.00E-37	1.15E+19	3.07E+18	7.05E-04	271.2	937	7.63E+13	1.37E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	6	32.7	242.8	1.00E-37	1.03E+19	2.77E+18	6.35E-04	265.1	937	6.87E+13	1.23E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	7	32.7	242.8	1.00E-37	9.30E+18	2.49E+18	5.73E-04	258.2	937	6.19E+13	1.11E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
2024	9	21	265	12	8	32.7	242.8	1.00E-37	8.37E+18	2.25E+18	5.15E-04	250.9	937	5.58E+13	1.00E+17	1.00E-37	1.00E-37	153.9	153.9	5.1	4	5	7	7	6.1	14.6
